frame_nmr,vehicle_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
31,1.0,[642.7397859467997 1561.9518715387644 1370.20550180527 2156.5896751370083],[853 2023 1089 2128],0.5220947861671448,MA13NRU,0.34450664206472154
33,1.0,[632.3953842602931 1575.6979170581021 1369.8457587437006 2160.0612223872263],[877 2048 1094 2140],0.6025222539901733,NA13NRU,0.5406385330314974
35,1.0,[613.0986974008342 1585.6554683093145 1366.348688644991 2162.9544850370476],[901 2075 1081 2150],0.4000859260559082,NA13NRU,0.5696641659912381
42,3.0,[1144.033264165667 1105.9331366957013 1705.142914743213 1592.5901465158],[1356 1420 1510 1505],0.4472641348838806,GX15OCJ,0.28294479448629256
43,3.0,[1141.9166272944083 1108.6712761116714 1703.9821423408782 1596.5105890199861],[1353 1418 1506 1504],0.47037386894226074,GX15OCJ,0.23955692071355522
44,4.0,[2252.9752841269333 1354.913602135483 2859.277972315234 1988.2692656155004],[2475 1837 2662 1928],0.6543639302253723,WT51VSU,0.07674096263201484
44,3.0,[1143.4816508556703 1115.555105502409 1707.8157161909955 1601.7215025659414],[1343 1423 1500 1508],0.4774378538131714,GY15OGJ,0.3586354343682666
49,4.0,[2260.093121311839 1377.1252592766998 2876.360916456841 2073.021231959838],[2478 1875 2672 1967],0.6337538361549377,NW51YSU,0.07786328742977047
52,3.0,[1124.5653834076631 1152.1259324860055 1696.5260795362212 1641.761376202289],[1331 1478 1477 1553],0.41332516074180603,GX15OCJ,0.4182514977702039
57,4.0,[2266.072570989711 1432.0682792752843 2904.250974581563 2149.677928272574],[2498 1947 2700 2038],0.6558359265327454,NT51VSU,0.2521135818589653
65,4.0,[2285.343762498388 1481.780792339835 2924.20233398432 2137.378783866967],[2515 2003 2721 2098],0.6748209595680237,NU51VSU,0.36518667034145713
65,3.0,[1088.4682547098678 1193.2445874852765 1677.9083326454484 1705.1373655678508],[1305 1528 1461 1608],0.4952983260154724,GX15OGJ,0.29560923601649214
72,3.0,[1060.6032344596429 1226.3106901793233 1668.0660391039564 1742.2628764597305],[1289 1574 1447 1653],0.47715672850608826,GX15OGJ,0.2689946988955791
77,3.0,[1039.577065243533 1261.443834362848 1670.4148471317699 1783.4703008641955],[1286 1605 1451 1684],0.46313750743865967,GX15OGJ,0.23568034348136663
79,3.0,[1033.893551919893 1270.7195653863773 1673.1685018627954 1792.7419064597339],[1266 1614 1459 1699],0.4879814386367798,GX15OGJ,0.25241191532255414
80,3.0,[1030.0648916311097 1275.0281058270716 1672.3954037769 1799.13804896481],[1264 1616 1436 1704],0.5584034323692322,GX15OGJ,0.3582045096180052
